indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
176,Población con ingresos por debajo de la línea de indigencia  EPH puntual y continua,1be926ac-4d42-4c00-afca-dfe664cb8eaf,ERROR,1,1
177,Hogares con ingresos por debajo de la línea de indigencia EPH puntual y continua,4cce2dbc-ffef-4b83-8290-31c9a35e7c97,ERROR,1,1
178,Hogares y la población que habita con ingresos por debajo de la línea de pobreza e indigencia Encuesta puntual,5b17d316-3a01-4e40-b0b0-d488c7d6375d,ERROR,1,1
179,"Canasta básica alimentaria y total, línea de indigencia y línea de pobreza desde 1988",b0424c7b-1c15-4de5-bd0d-279b05668081,ERROR,1,3
180,Haber mínimo jubilatorio. Pesos corrientes,5b879df1-1216-4f35-b5ea-de2a918c5421,ERROR,1,1
181,"Salario mínimo, vital y móvil en pesos corrientes",b264f045-66d2-4e74-8a76-c622f844163f,ERROR,1,1
182,Índice de salarios. Base 2012,8e035e8b-af1f-4e51-8838-df413c6587a5,ERROR,1,2
183,"Variaciones de los índices de obreros ocupados, horas trabajadas y salario por obrero en la industria manufacturera",5d56acb6-5017-435c-a5dd-a45d1859ba82,ERROR,1,1
184,"Índices de obreros ocupados, horas trabajadas y salario por obrero en la industria manufacturera",6554c9e5-1de8-43a6-8066-8042ada7da7c,ERROR,1,2
185,Tasa de asalarización y de asalariados sin descuento jubilatorio,281c3fac-8334-473a-a6d8-96bc66a2cc1b,ERROR,1,2
186,Empleo total por aglomerado,7fedb5f3-3dc2-423b-9280-a0067eaac79b,ERROR,1,3
187,Empleo total y por sector de actividad,447e59e7-eacc-4adf-8f84-d4dc0548dfa9,ERROR,1,3
188,"Población Urbana, Población Económicamente Activa, ocupados, desocupados y subocupados",0f385fea-8127-41cc-bf71-3bc56f441b54,ERROR,1,2
189,Principales variables ocupacionales. EPH continua. Subocupación no demandante,95a8f1ec-cfd9-4a28-9f61-8869be9718a6,ERROR,1,2
190,Principales variables ocupacionales. EPH continua. Subocupación demandante,c7aa7918-7510-4b8e-b2c8-6094fe2a3be7,ERROR,1,2
191,Principales variables ocupacionales. EPH continua. Subocupación,1030116d-6213-41ae-8095-264b0c0aaf5b,ERROR,1,2
192,Principales variables ocupacionales. EPH continua. Desempleo,52cd414d-ab6f-45dd-be93-0d765f1e58cf,ERROR,1,2
193,Principales variables ocupacionales. EPH continua. Empleo,1dc4f395-0403-4840-9263-01fd1d25eaa3,ERROR,1,2
194,Principales variables ocupacionales. EPH continua. Actividad,1d9e67be-434c-441a-b90f-0b6d63177108,ERROR,1,2
195,Principales variables ocupacionales. EPH puntual,7bc0f270-302c-49b3-8a86-b85f26efc955,ERROR,1,1
196,Indicadores de producción de la Industria manufacturera,bd21d369-5fc7-4763-b7d9-a7e4138b05cc,ERROR,1,3
197,Captura pesquera,f9ae312b-88f4-494e-81d9-533205e21e1f,ERROR,1,3
198,Ventas al Mercado Interno de Producción Nacional. Base 1994,f19bc5be-4bd5-4405-90a1-556100cd1848,ERROR,1,3
199,Centros de Compras. Base 2008,8e583078-f095-475a-9a5c-e42b9d326a14,ERROR,1,3
200,Ventas de Supermercados (Base 1996) y evolución de artículos por grupos (base 2008),f21aaa4c-b376-498d-bf33-a851f7ad1b15,ERROR,1,3
201,Estadisticas de Servicios Publicos. Base 1993,af622a9e-a6d7-497b-9d80-10bd103e5a59,ERROR,1,3
202,Indicador sintético de la actividad de la construcción. Variaciones interanuales. Base 2004,f596c90d-3a56-4be1-8825-11f2bf007a0c,ERROR,1,1
203,Indicador sintético de la actividad de la construcción. Índice. Base 2004,074682ef-9ba7-4d89-a9b5-12ce4f276f68,ERROR,1,3
204,Utilización de la capacidad instalada en la industria. En porcentaje. Base 2004,db84fd83-652a-4d67-8ac5-42506aec572d,ERROR,1,2
205,Utilización de la capacidad instalada en la industria. En porcentaje. Base 2012,ee38e896-9a08-4b6e-b117-a4522af2f040,ERROR,1,3
206,Utilización de la capacidad instalada en la industria. En porcentaje. Base 2006,6c119296-6fff-4c30-98ab-971d5a85d169,ERROR,1,3
207,"Ingreso nacional, Ahorro nacional, Ahorro externo y Ahorro interno. Base 1993",037b0b79-3fb7-42d2-be20-7b7ab1cc1c51,ERROR,1,1
208,Ahorro externo y ahorro interno. Base 1993,c90e6ff5-af3b-486e-8904-2ae7834f9c85,ERROR,1,2
209,"Ingreso Nacional, Ahorro Nacional y Préstamo Neto. Base 1993",d57d8250-d747-4712-b7ce-63a749c0f759,ERROR,1,2
